Model,Fold,Test_Loss,Test_Accuracy
V1_Baseline,1,0.2134282160818577,0.9211
V1_Baseline,2,0.2084372382938862,0.9277
V1_Baseline,3,0.21392726730704306,0.9248
V1_Baseline,4,0.21576195715963842,0.9254
V1_Baseline,5,0.20539267033338546,0.926
V2_BatchNorm,1,0.20920220023393632,0.9276
V2_BatchNorm,2,0.20548433225154877,0.9258
V2_BatchNorm,3,0.2147628965318203,0.9228
V2_BatchNorm,4,0.19937035427093505,0.9297
V2_BatchNorm,5,0.22258881704807282,0.9209
V3_LargerKernel,1,0.2094906965613365,0.9219
V3_LargerKernel,2,0.21606994065046312,0.9201
V3_LargerKernel,3,0.20963617872595788,0.9213
V3_LargerKernel,4,0.222953911870718,0.9198
V3_LargerKernel,5,0.21991707906126975,0.9218
V4_AvgPool,1,0.1971160376802087,0.9298
V4_AvgPool,2,0.20827086845636367,0.9248
V4_AvgPool,3,0.20830077069699765,0.9252
V4_AvgPool,4,0.20851450444050132,0.9238
V4_AvgPool,5,0.20211117574125528,0.9259
V5_GELU,1,0.22012146176099778,0.9221
V5_GELU,2,0.20632055093050003,0.9231
V5_GELU,3,0.21312834771871567,0.9252
V5_GELU,4,0.20724713754355908,0.9259
V5_GELU,5,0.2117026165485382,0.9242
V6_NoDropout,1,0.2174090029656887,0.9233
V6_NoDropout,2,0.21328312437534333,0.9218
V6_NoDropout,3,0.21274171139597892,0.9202
V6_NoDropout,4,0.22319894136488438,0.922
V6_NoDropout,5,0.2335910453081131,0.9209
V7_Deeper,1,0.22701502701640128,0.9157
V7_Deeper,2,0.2187724953442812,0.9216
V7_Deeper,3,0.22282292150855065,0.9188
V7_Deeper,4,0.24298869893550873,0.9184
V7_Deeper,5,0.21666456232070924,0.9203
