model,fold,epoch,train_loss,train_accuracy,val_loss,val_accuracy
V5_GELU,3,1,0.5022914431889852,0.8155,0.3287455706993739,0.8770833333333333
V5_GELU,3,2,0.32342899376153944,0.8817083333333333,0.2862367175022761,0.895
V5_GELU,3,3,0.27542262129982314,0.8990625,0.24421762069066366,0.9108333333333334
V5_GELU,3,4,0.24427073414623737,0.9105416666666667,0.2389113480846087,0.9106666666666666
V5_GELU,3,5,0.21969997008144856,0.9178958333333334,0.2216630631685257,0.91775
V5_GELU,3,6,0.19570240832368532,0.926875,0.21489285715421041,0.921
V5_GELU,3,7,0.1772031981696685,0.9334166666666667,0.21648662825425466,0.9255
V5_GELU,3,8,0.1558533143401146,0.941875,0.2192728338042895,0.92275
V5_GELU,3,9,0.1405246402596434,0.94775,0.2111956028342247,0.9285
V5_GELU,3,10,0.123521680722634,0.9539791666666667,0.22286832429965336,0.9260833333333334
V5_GELU,3,11,0.11205726762115956,0.958875,0.2288505384027958,0.9264166666666667
V5_GELU,3,12,0.09634960722923279,0.9634375,0.23132818139592806,0.9269166666666667
V5_GELU,3,13,0.08657903761789203,0.9684166666666667,0.24924474484225115,0.9263333333333333
V5_GELU,3,14,0.07709324610481659,0.971125,0.25551096081733704,0.9255
V5_GELU,3,15,0.06705193238519132,0.9759166666666667,0.25872041580080984,0.9291666666666667
V5_GELU,3,16,0.0625670113991946,0.9765,0.27157699648539224,0.9263333333333333
V5_GELU,3,17,0.055614866062377886,0.9791875,0.2859641084770362,0.9278333333333333
V5_GELU,3,18,0.05165847663488239,0.9814166666666667,0.2897666446516911,0.9244166666666667
V5_GELU,3,19,0.046010592399475476,0.9829791666666666,0.31539206220706306,0.924
V5_GELU,3,20,0.0419706952238145,0.98425,0.3167336121400197,0.92625
V5_GELU,3,21,0.03876096009618292,0.985625,0.3249053607185682,0.9250833333333334
V5_GELU,3,22,0.03632145438793426,0.9862916666666667,0.3245086068113645,0.92875
V5_GELU,3,23,0.03317562642367557,0.9882083333333334,0.32524925471345584,0.9273333333333333
V5_GELU,3,24,0.03266830197139643,0.988375,0.3618605355123679,0.927
V5_GELU,3,25,0.03127009009911368,0.9886458333333333,0.3647196234265963,0.92225
V5_GELU,3,26,0.02766267776171056,0.989625,0.37092154448231063,0.92725
V5_GELU,3,27,0.02698517135336685,0.9900625,0.3986165916572014,0.92575
V5_GELU,3,28,0.02667971924657468,0.9908333333333333,0.392009017392993,0.9280833333333334
V5_GELU,3,29,0.027043910603310604,0.9900416666666667,0.4028507610857487,0.9264166666666667
V5_GELU,3,30,0.02641031011378315,0.9905625,0.3944760111172994,0.92575
V5_GELU,3,31,0.02212183901834457,0.991875,0.399271431773901,0.9275
V5_GELU,3,32,0.021780969229099962,0.9921458333333333,0.42608641446133455,0.9255
V5_GELU,3,33,0.020921084173566973,0.99275,0.4191557791431745,0.9259166666666667
V5_GELU,3,34,0.024347177405026742,0.991125,0.4381079970896244,0.9238333333333333
V5_GELU,3,35,0.02090902592416387,0.992375,0.4250338751475016,0.9260833333333334
V5_GELU,3,36,0.020052998423265914,0.992625,0.4562685128649076,0.92825
V5_GELU,3,37,0.019030819321623614,0.993125,0.4510299075245857,0.9235
V5_GELU,3,38,0.019871572565675403,0.9924166666666666,0.44861712915698687,0.9258333333333333
V5_GELU,3,39,0.020840884622302838,0.9925416666666667,0.4470325773457686,0.9281666666666667
V5_GELU,3,40,0.017497620494638492,0.9937083333333333,0.47316237914562226,0.92525
V5_GELU,3,41,0.01659852105822453,0.9943958333333334,0.4600264172454675,0.92575
V5_GELU,3,42,0.01990742293029325,0.9929583333333334,0.47730746841430666,0.92675
V5_GELU,3,43,0.01845763681033471,0.9936666666666667,0.4827017762710651,0.9269166666666667
V5_GELU,3,44,0.01714618377648488,0.9940208333333334,0.5062436022261778,0.9208333333333333
V5_GELU,3,45,0.017367486608583324,0.9937916666666666,0.5067009920030833,0.9255833333333333
V5_GELU,3,46,0.018808440081103377,0.9933125,0.5167415426870187,0.9278333333333333
V5_GELU,3,47,0.016912924945427222,0.9940625,0.4803549382016063,0.9255
V5_GELU,3,48,0.01650793311018303,0.9943958333333334,0.49708238256474335,0.928
V5_GELU,3,49,0.016171878642155208,0.9944375,0.5022582116425037,0.9278333333333333
V5_GELU,3,50,0.017237397774634396,0.99425,0.4985621677339077,0.92475
