model,fold,epoch,train_loss,train_accuracy,val_loss,val_accuracy
V6_NoDropout,2,1,0.4837256508668264,0.8243333333333334,0.33860864345232644,0.8765833333333334
V6_NoDropout,2,2,0.3050761973162492,0.8897708333333333,0.3027365007003148,0.8913333333333333
V6_NoDropout,2,3,0.2578525601923466,0.9046041666666667,0.26851860078175865,0.9039166666666667
V6_NoDropout,2,4,0.22825875273346902,0.9150625,0.25327717904249825,0.9080833333333334
V6_NoDropout,2,5,0.2024749928365151,0.9256666666666666,0.2442353046735128,0.9111666666666667
V6_NoDropout,2,6,0.18351745281616846,0.9310208333333333,0.21808290789524715,0.9248333333333333
V6_NoDropout,2,7,0.16151970520118872,0.940375,0.23181492886940638,0.9209166666666667
V6_NoDropout,2,8,0.14171866702040037,0.947875,0.22731291274229684,0.9216666666666666
V6_NoDropout,2,9,0.12756327839692433,0.9525,0.23931996136903763,0.9188333333333333
V6_NoDropout,2,10,0.11060003973419467,0.9595625,0.22699917368094127,0.9245833333333333
V6_NoDropout,2,11,0.09652925894906124,0.9647708333333334,0.25769554230570796,0.9191666666666667
V6_NoDropout,2,12,0.08163909504686792,0.9696666666666667,0.259142281850179,0.9188333333333333
V6_NoDropout,2,13,0.07036575377422075,0.975,0.26542753835519156,0.9255833333333333
V6_NoDropout,2,14,0.06105484435148537,0.9785625,0.2826215979258219,0.9186666666666666
V6_NoDropout,2,15,0.05195231218946477,0.9815416666666666,0.29699871883789697,0.92275
V6_NoDropout,2,16,0.04413038550053413,0.9852083333333334,0.31776354886094726,0.9215
V6_NoDropout,2,17,0.03928063369061177,0.9858541666666667,0.3181332140763601,0.922
V6_NoDropout,2,18,0.032983796547632664,0.9889375,0.3723133398791154,0.9179166666666667
V6_NoDropout,2,19,0.030698610303224995,0.98875,0.34594410527745884,0.9220833333333334
V6_NoDropout,2,20,0.02231969798853,0.9927291666666667,0.4073049952685833,0.9173333333333333
V6_NoDropout,2,21,0.025611384879390242,0.99075,0.4251414646779497,0.9205
V6_NoDropout,2,22,0.016999612193127785,0.9947083333333333,0.4635123168627421,0.9198333333333333
V6_NoDropout,2,23,0.019046943674281162,0.9934375,0.45312738555669785,0.9168333333333333
V6_NoDropout,2,24,0.021429594058038976,0.9924375,0.455546622864902,0.9195833333333333
V6_NoDropout,2,25,0.017674615502221665,0.9939166666666667,0.46652027348677316,0.9215
V6_NoDropout,2,26,0.0158461096912312,0.9943125,0.4906741747657458,0.9184166666666667
V6_NoDropout,2,27,0.014188599237493084,0.9956041666666666,0.5468934490333001,0.91675
V6_NoDropout,2,28,0.017114189743871976,0.9935416666666667,0.5341588032046953,0.915
V6_NoDropout,2,29,0.01453566963255677,0.9952916666666667,0.5300661449283361,0.9174166666666667
V6_NoDropout,2,30,0.015778191531843427,0.994875,0.5434419205387433,0.918
V6_NoDropout,2,31,0.013000720303321335,0.9953541666666667,0.5712342865467072,0.9193333333333333
V6_NoDropout,2,32,0.011812548182259585,0.9958125,0.5702553428610166,0.92225
V6_NoDropout,2,33,0.011586498115992678,0.996,0.6111999734242757,0.91075
V6_NoDropout,2,34,0.01525500244773381,0.9946458333333333,0.5681552264094353,0.9199166666666667
V6_NoDropout,2,35,0.009988205161627168,0.9963125,0.5711925066957871,0.9185
V6_NoDropout,2,36,0.01395028598922848,0.994875,0.6018455417553584,0.91925
V6_NoDropout,2,37,0.010097191094256535,0.9963125,0.5876447844306628,0.91875
V6_NoDropout,2,38,0.010764847537141273,0.9963541666666667,0.6150421966214975,0.9213333333333333
V6_NoDropout,2,39,0.012973772616683466,0.9958333333333333,0.5973922762870788,0.9174166666666667
V6_NoDropout,2,40,0.010316583340631345,0.9964166666666666,0.5740277693172295,0.9198333333333333
V6_NoDropout,2,41,0.011936712438817873,0.9962916666666667,0.5982940267324448,0.9143333333333333
V6_NoDropout,2,42,0.011957112057723256,0.9957291666666667,0.6328905614241958,0.9144166666666667
V6_NoDropout,2,43,0.00525968704643401,0.9982291666666666,0.6362155864536763,0.91925
V6_NoDropout,2,44,0.011449335577855284,0.9962291666666667,0.6614670480142038,0.91875
V6_NoDropout,2,45,0.00893251083691272,0.9973125,0.6728265757021339,0.9219166666666667
V6_NoDropout,2,46,0.010994599894566817,0.9963333333333333,0.6323742549268839,0.92075
V6_NoDropout,2,47,0.012842182791998008,0.9960833333333333,0.6191028210967779,0.9189166666666667
V6_NoDropout,2,48,0.006762822789391673,0.9976666666666667,0.669629344932735,0.9229166666666667
V6_NoDropout,2,49,0.005634944893119306,0.9980416666666667,0.7101156700054805,0.9179166666666667
V6_NoDropout,2,50,0.013301091606194556,0.9954583333333333,0.6762023458778859,0.9156666666666666
