model,fold,best_val_accuracy,best_val_accuracy_epoch,best_val_loss,best_val_loss_epoch,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy
V2_BatchNorm,3,0.926583333,10,0.208303506,7,0.033702087,0.986791667,0.477578999,0.926
V4_AvgPool,1,0.92925,34,0.211314037,16,0.053639959,0.978770833,0.338727974,0.924333333
V5_GELU,3,0.929166667,15,0.211195603,9,0.017237398,0.99425,0.498562168,0.92475
V4_AvgPool,2,0.929166667,40,0.223187225,18,0.045041318,0.982145833,0.422365778,0.924333333
V3_LargerKernel,3,0.927333333,17,0.212863527,7,0.033145998,0.988166667,0.542380933,0.924333333
V1_Baseline,3,0.928416667,17,0.214203631,10,0.03994299,0.984104167,0.449920352,0.92575
V6_NoDropout,3,0.923166667,11,0.216905933,6,0.008725666,0.997354167,0.701747247,0.912583333
V6_NoDropout,2,0.925583333,13,0.218082908,6,0.013301092,0.995458333,0.676202346,0.915666667
V4_AvgPool,3,0.93275,24,0.209645183,18,0.053214924,0.978583333,0.37235997,0.926583333
V2_BatchNorm,4,0.92625,25,0.219151485,7,0.029344182,0.989145833,0.448695247,0.922916667
V7_Deeper,3,0.924166667,11,0.219528485,5,0.031170432,0.988416667,0.469828735,0.920666667
V4_AvgPool,4,0.927666667,23,0.221872872,20,0.04831307,0.98125,0.356878873,0.925666667
V1_Baseline,1,0.9245,27,0.222055357,10,0.034488713,0.986770833,0.502668185,0.922
V2_BatchNorm,2,0.926333333,19,0.222617773,9,0.02633451,0.990395833,0.45832689,0.925083333
V1_Baseline,4,0.92575,35,0.22276228,13,0.032502793,0.987854167,0.472119359,0.924333333
V4_AvgPool,5,0.929166667,40,0.219016252,17,0.049130173,0.9809375,0.365301405,0.928666667
V2_BatchNorm,1,0.926666667,18,0.223447129,9,0.026678052,0.990166667,0.515643663,0.920333333
V5_GELU,4,0.9265,16,0.223930481,8,0.01579802,0.995,0.490686877,0.922833333
V3_LargerKernel,1,0.923833333,16,0.224035272,7,0.032165008,0.987666667,0.60537293,0.922666667
V1_Baseline,5,0.926416667,36,0.224691564,10,0.036530617,0.985979167,0.488317119,0.922416667
V5_GELU,1,0.924333333,15,0.225080619,8,0.019770554,0.993208333,0.52004211,0.919916667
V5_GELU,5,0.92625,22,0.225344604,7,0.016415904,0.994041667,0.524572472,0.92525
V5_GELU,2,0.9275,13,0.225728045,7,0.015321602,0.994520833,0.540133,0.923333333
V2_BatchNorm,5,0.9275,15,0.226931143,7,0.031293962,0.9878125,0.454637379,0.92575
V6_NoDropout,4,0.922666667,11,0.227709474,8,0.011112236,0.995916667,0.683289426,0.919583333
V1_Baseline,2,0.9265,30,0.227751766,11,0.030817615,0.988479167,0.530333944,0.924833333
V6_NoDropout,1,0.923583333,20,0.232355358,7,0.007078565,0.9978125,0.708450142,0.916916667
V7_Deeper,5,0.917916667,13,0.233368494,8,0.033844079,0.98825,0.552341642,0.908583333
V3_LargerKernel,4,0.923583333,19,0.233938913,9,0.030644338,0.988666667,0.589237315,0.919083333
V3_LargerKernel,5,0.92325,11,0.235186635,10,0.03340548,0.987,0.578598643,0.920083333
V3_LargerKernel,2,0.924666667,19,0.235399395,6,0.029943501,0.988625,0.574070178,0.920166667
V7_Deeper,2,0.923166667,19,0.235844773,9,0.034315282,0.987145833,0.533542448,0.913166667
V7_Deeper,1,0.916833333,30,0.239834195,6,0.030900156,0.988770833,0.511765194,0.91575
V6_NoDropout,5,0.922083333,47,0.24015762,9,0.00829735,0.997458333,0.702975153,0.91925
V7_Deeper,4,0.917083333,10,0.248418366,10,0.035539701,0.986791667,0.477441616,0.913166667
